"subject","choiceTrial","choiceRt","chosenDeckId","difference","difficulty","selectedDeckLocation","leftDeckId","rightDeckId","riskyDeckSwitchTop","riskyDeckSwitchBottom","safeDeckSwitch","outcomeSwitch","condition","selectedRiskyDeck"
15,25,1316,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
15,26,1975,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",8,12,10,12,"HM",1
15,27,3236,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,14,"HE",1
15,28,1683,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
15,29,3056,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
15,30,1986,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
15,31,1463,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
15,32,1813,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
15,33,1456,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",8,2,5,5,"EE",0
15,34,1459,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
15,35,1628,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
15,36,2028,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
15,37,1753,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
15,38,1625,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
15,39,2113,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,8,"EE",1
15,40,1881,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,8,"EM",1
16,1,3004,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
16,2,5478,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,14,"HE",1
16,3,4041,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,8,"EM",1
16,4,2783,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
16,5,3484,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
16,7,3978,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
16,8,1998,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
16,9,3726,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
16,10,5091,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
16,15,1297,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
16,16,827,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",2,8,5,5,"EE",0
16,17,817,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
16,18,738,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
16,19,2203,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",8,12,10,12,"HM",1
16,20,1349,"safeDeck","Extreme","Easier than Reference","left","safeDeck","riskyDeck",8,2,5,5,"EE",0
16,22,1058,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",8,12,10,10,"HM",0
16,23,1052,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
16,25,1231,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
16,28,795,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
16,29,1108,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
16,30,719,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
16,31,2300,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,2,"EE",1
16,32,3895,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
16,33,3464,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
16,34,1842,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
16,35,5072,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
16,36,711,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
16,37,1268,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
16,38,708,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
16,39,768,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
16,40,823,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
17,2,1137,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
17,4,1065,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
17,5,2185,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
17,6,1097,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
17,7,2104,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",8,4,6,8,"EM",1
17,8,1546,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
17,9,1369,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",2,8,5,2,"EE",1
